name,school,conference,position,height,weight,pts,reb,ast,stl,blk,to,min,gp,fg_pct,three_pct,ft_pct,year_label
Aden Holloway,Alabama,SEC,PG,6-1,180,17.0,2.6,3.9,0.6,0.0,1.5,28.5,21,0.479,0.444,0.827,Jr
Aiden Sherrell,Alabama,SEC,PF,6-10,255,10.5,5.7,0.9,0.5,2.4,0.8,22.3,24,0.537,0.302,0.701,So
Amari Allen,Alabama,SEC,PF,6-8,205,11.5,7.5,3.6,1.2,0.8,1.5,28.4,22,0.458,0.376,0.731,Fr
Davion Hannah,Alabama,SEC,SG,6-6,190,3.3,1.9,0.8,0.7,0.2,1.0,12.7,10,0.462,0.364,0.625,Fr
Houston Mallette,Alabama,SEC,SG,6-5,202,7.2,4.4,1.1,0.8,0.0,0.5,23.5,25,0.372,0.339,0.879,Sr
Jalil Bethea,Alabama,SEC,SG,6-5,190,5.4,2.0,0.7,0.2,0.1,0.5,9.5,16,0.41,0.333,0.852,So
Keitenn Bristow,Alabama,SEC,PF,6-10,205,3.6,4.0,0.5,0.6,0.6,0.8,12.5,10,0.364,0.111,0.733,So
Labaron Philon Jr.,Alabama,SEC,SG,6-4,185,21.3,3.5,4.9,1.3,0.3,2.7,30.0,24,0.507,0.396,0.777,So
Latrell Wrightsell,Alabama,SEC,SG,6-3,195,12.6,2.6,2.1,0.9,0.1,0.8,26.2,17,0.394,0.361,0.792,Sr
London Jemison,Alabama,SEC,PF,6-8,205,6.1,3.4,0.3,0.6,0.4,0.4,14.8,23,0.426,0.354,0.605,Fr
Noah Williamson,Alabama,SEC,C,7-0,255,1.2,1.6,0.4,0.4,0.4,0.5,8.5,23,0.278,0.1,0.625,Sr
Taylor Bol Bowen,Alabama,SEC,PF,6-10,202,7.2,5.1,0.5,0.4,1.1,0.8,20.1,20,0.407,0.296,0.875,Jr
Anthony Dell'Orso,Arizona,Big 12,SG,6-6,205,8.0,2.0,2.4,0.9,0.2,1.4,20.8,25,0.384,0.297,0.86,Sr
Brayden Burries,Arizona,Big 12,SG,6-4,205,15.7,4.7,2.6,1.6,0.2,1.4,29.1,25,0.5,0.373,0.796,Fr
Dwayne Aristode,Arizona,Big 12,PF,6-8,220,4.7,2.0,0.8,0.5,0.1,0.5,15.5,24,0.481,0.439,0.588,Fr
Ivan Kharchenkov,Arizona,Big 12,PF,6-7,220,9.7,3.6,2.2,1.6,0.4,1.2,26.2,25,0.487,0.292,0.725,Fr
Jaden Bradley,Arizona,Big 12,SG,6-3,200,13.4,3.4,4.4,1.8,0.0,1.6,29.2,25,0.487,0.4,0.798,Sr
